Restaurant Name,Cuisine,Rating,Number of Ratings,Average Price,Number of Offers,Offer Name,Area,Pure Veg,Location
La Pino'Z Pizza,"Pizzas, Pastas",4.0,,250,2,"FLAT DEAL
FLAT ₹125 OFF
USE FLAT125ABOVE ₹699, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",LALA LAJPAT RAI MARKET,No,Abohar
Food Studio,"Pizzas, Burgers",3.5,,49,5,"50% OFF UPTO ₹100
USE TRYNEWABOVE ₹129, FLAT DEAL
FLAT 30% OFF
USE PARTYABOVE ₹900, FLAT DEAL
FLAT ₹250 OFF
USE FLATDEALABOVE ₹999, SAVE BIG
40% OFF UPTO ₹200
USE JUMBOABOVE ₹375, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Central Abohar,Yes,Abohar
Picado International Food,"Pizzas, Beverages",4.3,,300,2,"40% OFF UPTO ₹80
USE TRYNEWABOVE ₹149, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Central Abohar,Yes,Abohar
Grill Master,"Pizzas, Indian",4.2,,250,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Abohar Locality,No,Abohar
PUBG Cafe,"Chinese, Pizzas",3.3,,200,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Central Abohar,Yes,Abohar
Taste Buds,"Snacks, Pizzas",4.2,,200,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Central Abohar,No,Abohar
Just Baked,"Beverages, Pizzas",4.2,,300,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Central Abohar,Yes,Abohar
Pb 15 Pizza Studio,Pizzas,4.7,,200,2,"20% OFF UPTO ₹50
USE TRYNEWABOVE ₹149, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Fazilka Chungi,Yes,Abohar
Domino'S Pizza,"Pizzas, Italian",4.4,,400,3,"FLAT DEAL
FLAT ₹150 OFF
USE WELCOMEDOM150ABOVE ₹299, FLAT DEAL
FLAT ₹100 OFF
USE FLAT100ABOVE ₹999, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Abohar Locality,No,Abohar
IFC Restaurant 2 Teachers Colony,"Pizzas, Burgers",3.7,,150,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Adilabad City,No,Adilabad
Pizza House,"Pizzas, Fast Food",4.4,,199,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Bharpet,No,Adoni
La Pino'Z Pizza,"Pizzas, Pastas",4.2,,400,4,"50% OFF UPTO ₹100
USE TRYNEWON SELECT ITEMS, FLAT DEAL
FLAT ₹125 OFF
USE FLAT125ABOVE ₹599, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, SAVE BIG
15% OFF UPTO ₹80
USE JUMBOABOVE ₹400",Sikandra,No,Agra
Pizza Hut,Pizzas,4.1,,350,2,"50% OFF UPTO ₹100
USE SWIGGYITABOVE ₹189, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Sikandra,No,Agra
Pizza King,"Pizzas, Italian",4.2,,300,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Shahganj,No,Agra
Laziz Pizza,"Pizzas, Burgers",4.1,,270,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Civil Lines,No,Agra
Firangi Bake,"Pizzas, Pastas",4.4,,400,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Civil Lines,No,Agra
Sa Pizza'& Burger,"Pizzas, Burgers",2.8,,169,2,"50% OFF UPTO ₹100
USE TRYNEWABOVE ₹149, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Civil Lines,No,Agra
Little Italy,"Italian, Pizzas",3.3,,1200,3,"FLAT DEAL
FLAT 20% OFF
USE PARTYABOVE ₹600, SAVE BIG
20% OFF UPTO ₹100
USE JUMBOABOVE ₹400, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",FATEHABAD ROAD,Yes,Agra
Sydney Cafe,"Pizzas, Snacks",3.7,,400,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Civil Lines,Yes,Agra
Kalki Pizza Palace,"Pizzas, Italian",3.0,,100,2,"FLAT DEAL
FLAT ₹250 OFF
USE FLATDEALABOVE ₹999, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Civil Lines,Yes,Agra
Official Pizza Cafe,"Pizzas, Fast Food",3.0,,129,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Sikandra,Yes,Agra
Vishal Varun Bakers,"Bakery, Pizzas",3.8,,50,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Tajganj,No,Agra
Grab Eat Go,"Pizzas, Fast Food",4.9,,300,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Civil Lines,Yes,Agra
Pizza Cave,Pizzas,4.2,,300,2,"60% OFF UPTO ₹120
USE TRYNEWABOVE ₹149, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Kamla Nagar,Yes,Agra
Le Vera Pizza,Pizzas,4.4,,300,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Kamla Nagar,Yes,Agra
Rosebud Cafe,"Pizzas, Chinese",2.7,,240,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Civil Lines,Yes,Agra
Pizza House,"Pizzas, Pastas",4.0,,150,2,"FLAT 25% OFF
USE TRYNEWABOVE ₹149, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Arjun nagar,Yes,Agra
Domino'S Pizza,"Pizzas, Italian",4.6,,400,3,"FLAT DEAL
FLAT ₹150 OFF
USE WELCOMEDOM150ABOVE ₹299, FLAT DEAL
FLAT ₹100 OFF
USE FLAT100ABOVE ₹999, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Hathras Locality,No,Agra
Pizza Cafe,"Pizzas, Beverages",4.1,,200,2,"40% OFF UPTO ₹80
USE TRYNEWABOVE ₹149, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Tajganj,No,Agra
Magic Pizza,Pizzas,4.2,,400,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Tajganj,Yes,Agra
Hot Pizza,"Pizzas, Chinese",3.4,,450,3,"30% OFF UPTO ₹75
USE TRYNEWABOVE ₹149, FLAT DEAL
FLAT ₹125 OFF
USE FLATDEALABOVE ₹499, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Shahganj,No,Agra
Daddy Plz Pizza,Pizzas,2.7,,150,4,"30% OFF UPTO ₹75
USE TRYNEWABOVE ₹149, FLAT DEAL
FLAT 10% OFF
USE PARTYABOVE ₹550, FLAT DEAL
FLAT ₹125 OFF
USE FLATDEALABOVE ₹499, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Shahganj,Yes,Agra
Daddy Plz,Pizzas,4.3,,400,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Shahganj,No,Agra
Cheesy Bees,"Pizzas, Chinese",3.6,,300,2,"20% OFF UPTO ₹50
USE TRYNEWABOVE ₹149, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Khandari,Yes,Agra
The Untold Stories,"Pastas, Pizzas",4.4,,200,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Civil Lines,No,Agra
Freaky Burger,Pizzas,3.6,,250,2,"30% OFF UPTO ₹75
USE TRYNEWABOVE ₹149, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Tajganj,No,Agra
Tirupati'S Dosa Factory,"South Indian, Pizzas",4.1,,250,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Civil Lines,Yes,Agra
Divyanshi Fast Food Center,"Pizzas, Pastas",3.1,,200,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Tajganj,No,Agra
Star Ultimate Pizza,"Pizzas, Pastas",3.6,,300,4,"FLAT DEAL
FLAT ₹100 OFF
USE FLATDEALABOVE ₹199, 40% OFF UPTO ₹80
USE TRYNEWABOVE ₹149, DEFAULT
FLAT ₹175 OFF
USE MEGASAVERABOVE ₹499, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Shahganj,No,Agra
Pizza Pasta Day,"Pizzas, Italian",4.3,,300,2,"DEFAULT
FLAT ₹175 OFF
USE MEGASAVERABOVE ₹399, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Shaganj,Yes,Agra
Shay Hub,"Pizzas, Pastas",3.8,,200,3,"30% OFF UPTO ₹75
USE TRYNEWABOVE ₹149, FLAT DEAL
FLAT ₹150 OFF
USE FLATDEALABOVE ₹499, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Kamla Nagar,Yes,Agra
Pizza Star - The Italian Food Corner,"Pizzas, Fast Food",3.1,,300,2,"FLAT DEAL
FLAT ₹100 OFF
USE FLATDEALABOVE ₹599, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Shahganj,Yes,Agra
Oh Agra Cafe,"Indian, Pizzas",3.3,,270,3,"FLAT DEAL
FLAT ₹250 OFF
USE FLATDEALABOVE ₹999, SAVE BIG
15% OFF UPTO ₹100
USE JUMBOABOVE ₹375, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Civil Lines,Yes,Agra
Chicago Pizza,"Pizzas, Fast Food",4.3,,400,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",sikandara,No,Agra
Ratan Pizza,"Pizzas, Fast Food",3.6,,1000,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Civil Lines,No,Agra
